customer_id,mean_reviews_per_week,total_reviews,avg_sim,unique_products,unique_product_parents,mean_start_rating,count_neg,count_pos,mean_score_neg,mean_score_pos,percentage_of_links,percentage_of_emails,percentage_of_reviews_from_vine,percentage_of_verified,is_main_sentiment_positive,is_fraud,fraud_pred
44855305,1,3,0.3532338308,3,3,1.333333333,3,0,0.001956465,0,0,0,0,1,0,0,0.07
8228438,1,2,0,2,2,5,0,2,0,0.999854207,0,0,0,1,1,0,0.01
678654,1,2,1,2,2,5,0,2,0,0.999863863,0,0,0,1,1,0,0.02
4478689,3,3,0,3,3,3.666666667,1,2,0.001291387,0.994374752,0,0,0,1,1,0,0.04
21157015,2,2,0,2,2,3,0,2,0,0.99919191,0,0,0,1,1,0,0.01
31553621,2,2,0,2,2,5,0,2,0,0.9998687505,0,0,0,1,1,0,0.08
19351953,2,2,0,2,2,4.5,0,2,0,0.9998683335,0,0,0,1,1,0,0
16848725,2,2,0.07692307692,2,2,3.5,0,2,0,0.9990933835,0,0,0,0.5,1,0,0.05
52894341,1,2,0.01492537313,2,2,2.5,2,0,0.0027573605,0,0,0,0,0,0,0,0
15532751,1,3,0.02222222222,3,3,4.666666667,0,3,0,0.9965543947,0,0,0,0.67,1,0,0.04
48951142,1,2,0,2,2,4,0,2,0,0.999790877,0,0,0,1,1,0,0.03
47775039,1,2,0,2,2,4.5,0,2,0,0.802246034,0,0,0,1,1,0,0
49715992,1,2,0,2,2,4,0,2,0,0.994661838,0,0,0,1,1,0,0.02
49648764,1.5,3,0.01709401709,3,3,3.666666667,1,2,0.000289254,0.996649444,0,0,0,1,1,0,0
2830811,1.666666667,5,0.5555555556,5,5,3.4,0,5,0,0.999859452,0,0,0,1,1,1,0.81
36917006,1.5,3,0.02777777778,3,3,4.666666667,0,3,0,0.9998315373,0,0,0,1,1,0,0.07
4053750,2,2,0.3333333333,2,2,5,0,2,0,0.999861598,0,0,0,1,1,0,0.08
25226778,2,2,0.02564102564,2,2,5,0,2,0,0.997510344,0,0,0,1,1,0,0
44789666,2,2,0,2,2,3,0,2,0,0.999790877,0,0,0,1,1,0,0.05
18445922,1,2,1,2,2,5,0,2,0,0.999826491,0,0,0,0.5,1,0,0.5291666667
3692841,1,2,0,2,2,4.5,0,2,0,0.9998435675,0,0,0,1,1,0,0
11127339,1,2,0,2,2,5,0,2,0,0.99984017,0,0,0,1,1,0,0.06
28171447,3,3,0.3888888889,3,3,5,0,3,0,0.9996100067,0,0,0,1,1,1,0.87
39251298,1,2,0,2,2,3,1,1,0.000511979,0.999873161,0,0,0,1,0,0,0
14126981,1,2,0,2,2,5,1,1,0.013288533,0.999873161,0,0,0,1,0,0,0.01
12551110,2,2,1,2,2,5,0,2,0,0.999858856,0,0,0,1,1,0,0.6121904762
15598455,2,2,1,2,2,4,0,2,0,0.733439684,0,0,0,1,1,1,0.83
14632217,2,2,1,2,2,5,0,2,0,0.999874473,0,0,0,1,1,0,0.99
23163175,2,2,0.1428571429,2,2,5,0,2,0,0.9998076855,0,0,0,1,1,0,0.01
43131107,3,3,0,3,3,4,0,3,0,0.99954019,0,0,0,1,1,0,0.2
25868998,2,2,0,2,2,2,1,1,0.000209049,0.99976033,0,0,0,1,0,0,0
40638752,2,2,0,2,2,5,0,2,0,0.999750674,0,0,0,1,1,0,0.18
164182,2,2,0.3333333333,2,2,5,0,2,0,0.9998832345,0,0,0,0.5,1,0,0.06
35500152,2,2,1,2,2,5,0,2,0,0.999879479,0,0,0,1,1,1,0.69
2173877,2,2,0,2,2,5,0,2,0,0.999860346,0,0,0,1,1,1,0.09
13910464,2,2,0,2,2,5,0,2,0,0.999866843,0,0,0,0.5,1,0,0.01
45575279,1,2,0,2,2,5,1,1,0.028686943,0.9998281,0,0,0,0.5,0,0,0.17
13418761,1,2,0.01315789474,2,2,5,2,0,0.0196544795,0,0,0,0,0,0,0,0.01
2063075,1,2,0,2,2,3,1,1,0.00022292,0.999841213,0,0,0,1,0,0,0
886697,2,2,0,2,2,5,0,2,0,0.9996256825,0,0,0,1,1,0,0.05
